Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,0.3,1,1000,9,4,0,663,1
rep1_FOV1_1,1,1,1200,0.3,1,1050,8,2,0,728,1
rep1_FOV1_1,1,1,1200,0.3,1,1100,6,0,0,698,1
rep1_FOV1_1,1,1,1200,0.3,1,1150,3,0,0,605,1
rep1_FOV1_1,1,1,1200,0.3,1,1200,2,0,0,452,1
rep1_FOV1_1,1,1,1200,0.3,1,1250,1,0,0,334,1
rep1_FOV1_1,1,1,1200,0.3,1,1300,1,6,7,246,1
rep1_FOV1_1,1,1,1200,0.3,1,1350,4,7,6,282,1
rep1_FOV1_1,1,1,1200,0.3,1,1400,5,1,3,394,1
rep1_FOV1_1,1,1,1200,0.3,1,1450,6,2,1,452,1
rep1_FOV1_1,1,1,1200,0.3,1,1500,3,0,1,467,1
rep1_FOV1_1,1,1,1200,0.3,1,1550,1,0,1,337,1
rep1_FOV1_1,1,1,1200,0.3,1,1600,0,2,1,208,1
rep1_FOV1_1,1,1,1200,0.3,1,1650,0,1,0,124,1
rep1_FOV1_1,1,1,1200,0.3,1,1700,0,0,0,69,1
rep1_FOV1_1,1,1,1200,0.3,1,1750,0,0,0,35,1
rep1_FOV1_1,1,1,1200,0.3,1,1800,0,0,0,23,1
rep1_FOV1_1,1,1,1200,0.3,1,1850,0,1,3,15,1
rep1_FOV1_1,1,1,1200,0.3,1,1900,0,5,7,16,1
rep1_FOV1_1,1,1,1200,0.3,1,1950,5,2,2,111,1
rep1_FOV1_1,1,1,1200,0.3,1,2000,4,1,1,247,1
rep1_FOV1_2,1,1,1200,0.3,2,1000,7,5,4,1156,1
rep1_FOV1_2,1,1,1200,0.3,2,1050,8,9,7,1045,1
rep1_FOV1_2,1,1,1200,0.3,2,1100,12,7,11,971,1
rep1_FOV1_2,1,1,1200,0.3,2,1150,13,2,5,1179,1
rep1_FOV1_2,1,1,1200,0.3,2,1200,13,19,40,1211,1
rep1_FOV1_2,1,1,1200,0.3,2,1250,18,19,14,1413,1
rep1_FOV1_2,1,1,1200,0.3,2,1300,22,5,13,1741,1
rep1_FOV1_2,1,1,1200,0.3,2,1350,15,10,8,1785,1
rep1_FOV1_2,1,1,1200,0.3,2,1400,14,6,2,1644,1
rep1_FOV1_2,1,1,1200,0.3,2,1450,10,2,3,1475,1
rep1_FOV1_2,1,1,1200,0.3,2,1500,8,2,8,1218,1
rep1_FOV1_2,1,1,1200,0.3,2,1550,6,5,2,1059,1
rep1_FOV1_2,1,1,1200,0.3,2,1600,9,0,0,900,1
rep1_FOV1_2,1,1,1200,0.3,2,1650,6,4,27,732,1
rep1_FOV1_2,1,1,1200,0.3,2,1700,13,6,14,811,1
rep1_FOV1_2,1,1,1200,0.3,2,1750,15,6,3,1019,1
rep1_FOV1_2,1,1,1200,0.3,2,1800,9,3,2,1042,1
rep1_FOV1_2,1,1,1200,0.3,2,1850,9,2,2,980,1
rep1_FOV1_2,1,1,1200,0.3,2,1900,6,0,0,917,1
rep1_FOV1_2,1,1,1200,0.3,2,1950,1,0,2,716,1
rep1_FOV1_2,1,1,1200,0.3,2,2000,2,0,5,487,1
rep1_FOV1_3,1,1,1200,0.3,3,1000,7,4,1,1231,1
rep1_FOV1_3,1,1,1200,0.3,3,1050,6,3,2,1065,1
rep1_FOV1_3,1,1,1200,0.3,3,1100,3,1,2,798,1
rep1_FOV1_3,1,1,1200,0.3,3,1150,4,17,16,601,1
rep1_FOV1_3,1,1,1200,0.3,3,1200,14,4,8,807,1
rep1_FOV1_3,1,1,1200,0.3,3,1250,12,2,5,1011,1
rep1_FOV1_3,1,1,1200,0.3,3,1300,9,3,2,1052,1
rep1_FOV1_3,1,1,1200,0.3,3,1350,3,2,0,867,1
rep1_FOV1_3,1,1,1200,0.3,3,1400,3,2,0,618,1
rep1_FOV1_3,1,1,1200,0.3,3,1450,2,0,0,502,1
rep1_FOV1_3,1,1,1200,0.3,3,1500,2,0,0,383,1
rep1_FOV1_3,1,1,1200,0.3,3,1550,2,1,5,303,1
rep1_FOV1_3,1,1,1200,0.3,3,1600,1,4,1,226,1
rep1_FOV1_3,1,1,1200,0.3,3,1650,2,1,1,222,1
rep1_FOV1_3,1,1,1200,0.3,3,1700,1,2,1,198,1
rep1_FOV1_3,1,1,1200,0.3,3,1750,1,1,0,177,1
rep1_FOV1_3,1,1,1200,0.3,3,1800,1,1,0,137,1
rep1_FOV1_3,1,1,1200,0.3,3,1850,0,0,0,84,1
