Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,0.3,1,1000,5,7,8,228,1
rep1_FOV1_1,1,1,1200,0.3,1,1050,5,7,15,406,1
rep1_FOV1_1,1,1,1200,0.3,1,1100,8,9,10,534,1
rep1_FOV1_1,1,1,1200,0.3,1,1150,5,8,4,625,1
rep1_FOV1_1,1,1,1200,0.3,1,1200,6,7,14,630,1
rep1_FOV1_1,1,1,1200,0.3,1,1250,6,15,9,584,1
rep1_FOV1_1,1,1,1200,0.3,1,1300,7,9,6,721,1
rep1_FOV1_1,1,1,1200,0.3,1,1350,7,3,3,670,1
rep1_FOV1_1,1,1,1200,0.3,1,1400,4,0,2,619,1
rep1_FOV1_1,1,1,1200,0.3,1,1450,4,0,1,526,1
rep1_FOV1_1,1,1,1200,0.3,1,1500,5,3,3,492,1
rep1_FOV1_1,1,1,1200,0.3,1,1550,3,3,2,415,1
rep1_FOV1_1,1,1,1200,0.3,1,1600,5,1,0,438,1
rep1_FOV1_1,1,1,1200,0.3,1,1650,3,0,0,431,1
rep1_FOV1_1,1,1,1200,0.3,1,1700,1,0,0,318,1
rep1_FOV1_1,1,1,1200,0.3,1,1750,0,3,16,203,1
rep1_FOV1_1,1,1,1200,0.3,1,1800,5,5,11,226,1
rep1_FOV1_1,1,1,1200,0.3,1,1850,3,10,3,317,1
rep1_FOV1_1,1,1,1200,0.3,1,1900,6,3,4,381,1
rep1_FOV1_1,1,1,1200,0.3,1,1950,7,5,5,442,1
rep1_FOV1_1,1,1,1200,0.3,1,2000,6,7,11,510,1
rep1_FOV1_2,1,1,1200,0.3,2,1000,20,14,23,2208,1
rep1_FOV1_2,1,1,1200,0.3,2,1050,23,14,10,2183,1
rep1_FOV1_2,1,1,1200,0.3,2,1100,27,18,23,2344,1
rep1_FOV1_2,1,1,1200,0.3,2,1150,34,13,6,2677,1
rep1_FOV1_2,1,1,1200,0.3,2,1200,30,7,1,2850,1
rep1_FOV1_2,1,1,1200,0.3,2,1250,22,1,1,2785,1
rep1_FOV1_2,1,1,1200,0.3,2,1300,15,0,0,2316,1
rep1_FOV1_2,1,1,1200,0.3,2,1350,13,0,7,2002,1
rep1_FOV1_2,1,1,1200,0.3,2,1400,8,3,2,1634,1
rep1_FOV1_2,1,1,1200,0.3,2,1450,5,5,18,1209,1
rep1_FOV1_2,1,1,1200,0.3,2,1500,8,10,16,976,1
rep1_FOV1_2,1,1,1200,0.3,2,1550,11,13,31,912,1
rep1_FOV1_2,1,1,1200,0.3,2,1600,16,15,13,1130,1
rep1_FOV1_2,1,1,1200,0.3,2,1650,23,5,10,1506,1
rep1_FOV1_2,1,1,1200,0.3,2,1700,18,9,9,1567,1
rep1_FOV1_2,1,1,1200,0.3,2,1750,13,7,4,1534,1
rep1_FOV1_2,1,1,1200,0.3,2,1800,8,5,3,1306,1
rep1_FOV1_2,1,1,1200,0.3,2,1850,8,12,7,1078,1
rep1_FOV1_2,1,1,1200,0.3,2,1900,12,3,8,1081,1
rep1_FOV1_2,1,1,1200,0.3,2,1950,11,5,3,1066,1
rep1_FOV1_2,1,1,1200,0.3,2,2000,6,3,3,938,1
rep1_FOV1_3,1,1,1200,0.3,3,1000,7,5,3,777,1
rep1_FOV1_3,1,1,1200,0.3,3,1050,4,2,1,629,1
rep1_FOV1_3,1,1,1200,0.3,3,1100,4,1,0,587,1
rep1_FOV1_3,1,1,1200,0.3,3,1150,4,0,0,539,1
rep1_FOV1_3,1,1,1200,0.3,3,1200,2,0,0,419,1
rep1_FOV1_3,1,1,1200,0.3,3,1250,2,0,0,319,1
rep1_FOV1_3,1,1,1200,0.3,3,1300,2,0,0,267,1
rep1_FOV1_3,1,1,1200,0.3,3,1350,2,0,0,250,1
rep1_FOV1_3,1,1,1200,0.3,3,1400,2,0,0,240,1
rep1_FOV1_3,1,1,1200,0.3,3,1450,2,0,0,247,1
rep1_FOV1_3,1,1,1200,0.3,3,1500,1,0,0,202,1
rep1_FOV1_3,1,1,1200,0.3,3,1550,0,0,0,148,1
rep1_FOV1_3,1,1,1200,0.3,3,1600,0,0,0,75,1
rep1_FOV1_3,1,1,1200,0.3,3,1650,0,0,0,44,1
rep1_FOV1_3,1,1,1200,0.3,3,1700,0,0,0,21,1
rep1_FOV1_3,1,1,1200,0.3,3,1750,0,0,0,15,1
rep1_FOV1_3,1,1,1200,0.3,3,1800,0,0,0,11,1
rep1_FOV1_3,1,1,1200,0.3,3,1850,1,1,3,5,1
rep1_FOV1_3,1,1,1200,0.3,3,1900,2,0,7,45,1
rep1_FOV1_3,1,1,1200,0.3,3,1950,3,11,36,138,1
rep1_FOV1_3,1,1,1200,0.3,3,2000,10,15,15,352,1
rep1_FOV1_4,1,1,1200,0.3,4,1000,24,10,8,2400,1
rep1_FOV1_4,1,1,1200,0.3,4,1050,21,4,4,2316,1
rep1_FOV1_4,1,1,1200,0.3,4,1100,14,4,2,1978,1
rep1_FOV1_4,1,1,1200,0.3,4,1150,8,3,26,1612,1
rep1_FOV1_4,1,1,1200,0.3,4,1200,16,21,25,1412,1
rep1_FOV1_4,1,1,1200,0.3,4,1250,20,21,29,1589,1
rep1_FOV1_4,1,1,1200,0.3,4,1300,31,13,8,2028,1
rep1_FOV1_4,1,1,1200,0.3,4,1350,26,5,7,2314,1
rep1_FOV1_4,1,1,1200,0.3,4,1400,21,5,4,2327,1
rep1_FOV1_4,1,1,1200,0.3,4,1450,12,4,11,1997,1
rep1_FOV1_4,1,1,1200,0.3,4,1500,8,6,3,1596,1
rep1_FOV1_4,1,1,1200,0.3,4,1550,6,5,5,1298,1
rep1_FOV1_4,1,1,1200,0.3,4,1600,4,2,2,1074,1
rep1_FOV1_4,1,1,1200,0.3,4,1650,6,0,1,829,1
rep1_FOV1_4,1,1,1200,0.3,4,1700,5,0,0,753,1
rep1_FOV1_4,1,1,1200,0.3,4,1750,3,0,5,626,1
rep1_FOV1_4,1,1,1200,0.3,4,1800,3,9,12,471,1
rep1_FOV1_4,1,1,1200,0.3,4,1850,11,10,41,583,1
rep1_FOV1_4,1,1,1200,0.3,4,1900,20,19,66,1050,1
rep1_FOV1_4,1,1,1200,0.3,4,1950,34,16,29,1647,1
rep1_FOV1_4,1,1,1200,0.3,4,2000,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1000,1,1,1,318,1
rep1_FOV1_5,1,1,1200,0.3,5,1050,1,1,0,246,1
rep1_FOV1_5,1,1,1200,0.3,5,1100,1,0,0,195,1
rep1_FOV1_5,1,1,1200,0.3,5,1150,1,11,24,169,1
rep1_FOV1_5,1,1,1200,0.3,5,1200,11,7,10,332,1
rep1_FOV1_5,1,1,1200,0.3,5,1250,19,26,53,679,1
rep1_FOV1_5,1,1,1200,0.3,5,1300,35,17,22,1553,1
rep1_FOV1_5,1,1,1200,0.3,5,1350,36,15,39,2411,1
