Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,0.1,1,1000,0,0,0,0,1
rep1_FOV1_1,1,1,1200,0.1,1,1050,0,0,0,0,1
rep1_FOV1_1,1,1,1200,0.1,1,1100,0,0,0,0,1
rep1_FOV1_1,1,1,1200,0.1,1,1150,0,0,0,0,1
rep1_FOV1_1,1,1,1200,0.1,1,1200,2,1,4,16,1
rep1_FOV1_1,1,1,1200,0.1,1,1250,3,2,0,99,1
rep1_FOV1_1,1,1,1200,0.1,1,1300,2,4,2,174,1
rep1_FOV1_1,1,1,1200,0.1,1,1350,5,2,19,255,1
rep1_FOV1_1,1,1,1200,0.1,1,1400,9,5,6,459,1
rep1_FOV1_1,1,1,1200,0.1,1,1450,7,4,2,657,1
rep1_FOV1_1,1,1,1200,0.1,1,1500,5,0,2,663,1
rep1_FOV1_1,1,1,1200,0.1,1,1550,3,1,1,580,1
rep1_FOV1_1,1,1,1200,0.1,1,1600,2,0,0,421,1
rep1_FOV1_1,1,1,1200,0.1,1,1650,2,0,0,359,1
rep1_FOV1_1,1,1,1200,0.1,1,1700,1,0,0,275,1
rep1_FOV1_1,1,1,1200,0.1,1,1750,0,0,0,179,1
rep1_FOV1_1,1,1,1200,0.1,1,1800,0,0,0,111,1
rep1_FOV1_1,1,1,1200,0.1,1,1850,0,5,8,63,1
rep1_FOV1_1,1,1,1200,0.1,1,1900,5,3,3,164,1
rep1_FOV1_1,1,1,1200,0.1,1,1950,5,0,6,326,1
rep1_FOV1_1,1,1,1200,0.1,1,2000,6,1,2,408,1
rep1_FOV1_2,1,1,1200,0.1,2,1000,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1050,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1100,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1150,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1200,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1250,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1300,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1350,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1400,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1450,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1500,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1550,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1600,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1650,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1700,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1750,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1800,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1850,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1900,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,1950,0,0,0,0,0
rep1_FOV1_2,1,1,1200,0.1,2,2000,0,0,0,0,0
rep1_FOV1_3,1,1,1200,0.1,3,1000,6,0,0,879,1
rep1_FOV1_3,1,1,1200,0.1,3,1050,3,0,6,714,1
rep1_FOV1_3,1,1,1200,0.1,3,1100,3,1,4,581,1
rep1_FOV1_3,1,1,1200,0.1,3,1150,3,3,1,477,1
rep1_FOV1_3,1,1,1200,0.1,3,1200,3,2,1,393,1
rep1_FOV1_3,1,1,1200,0.1,3,1250,2,0,1,349,1
rep1_FOV1_3,1,1,1200,0.1,3,1300,1,0,1,257,1
rep1_FOV1_3,1,1,1200,0.1,3,1350,2,0,0,221,1
rep1_FOV1_3,1,1,1200,0.1,3,1400,1,0,0,191,1
rep1_FOV1_3,1,1,1200,0.1,3,1450,1,0,0,133,1
rep1_FOV1_3,1,1,1200,0.1,3,1500,1,0,0,105,1
rep1_FOV1_3,1,1,1200,0.1,3,1550,1,1,9,103,1
rep1_FOV1_3,1,1,1200,0.1,3,1600,4,6,4,127,1
rep1_FOV1_3,1,1,1200,0.1,3,1650,7,3,1,325,1
rep1_FOV1_3,1,1,1200,0.1,3,1700,6,0,1,482,1
rep1_FOV1_3,1,1,1200,0.1,3,1750,4,2,6,493,1
rep1_FOV1_3,1,1,1200,0.1,3,1800,2,4,3,379,1
rep1_FOV1_3,1,1,1200,0.1,3,1850,8,5,10,396,1
rep1_FOV1_3,1,1,1200,0.1,3,1900,12,2,4,632,1
rep1_FOV1_3,1,1,1200,0.1,3,1950,9,0,1,787,1
rep1_FOV1_3,1,1,1200,0.1,3,2000,9,1,0,811,1
rep1_FOV1_4,1,1,1200,0.1,4,1000,5,1,0,1086,1
rep1_FOV1_4,1,1,1200,0.1,4,1050,2,1,0,777,1
rep1_FOV1_4,1,1,1200,0.1,4,1100,2,1,0,578,1
rep1_FOV1_4,1,1,1200,0.1,4,1150,5,1,7,504,1
rep1_FOV1_4,1,1,1200,0.1,4,1200,7,1,2,583,1
rep1_FOV1_4,1,1,1200,0.1,4,1250,7,1,1,603,1
rep1_FOV1_4,1,1,1200,0.1,4,1300,9,4,18,669,1
rep1_FOV1_4,1,1,1200,0.1,4,1350,15,2,7,871,1
rep1_FOV1_4,1,1,1200,0.1,4,1400,9,4,2,1002,1
rep1_FOV1_4,1,1,1200,0.1,4,1450,5,2,1,950,1
rep1_FOV1_4,1,1,1200,0.1,4,1500,1,2,0,703,1
rep1_FOV1_4,1,1,1200,0.1,4,1550,1,0,0,450,1
rep1_FOV1_4,1,1,1200,0.1,4,1600,1,0,0,322,1
rep1_FOV1_4,1,1,1200,0.1,4,1650,1,0,0,225,1
rep1_FOV1_4,1,1,1200,0.1,4,1700,0,0,0,167,1
rep1_FOV1_4,1,1,1200,0.1,4,1750,0,0,0,107,1
rep1_FOV1_4,1,1,1200,0.1,4,1800,0,0,0,62,1
rep1_FOV1_4,1,1,1200,0.1,4,1850,0,0,0,36,1
rep1_FOV1_4,1,1,1200,0.1,4,1900,1,8,20,24,1
rep1_FOV1_4,1,1,1200,0.1,4,1950,9,13,27,314,1
rep1_FOV1_4,1,1,1200,0.1,4,2000,11,14,15,601,1
rep1_FOV1_5,1,1,1200,0.1,5,1000,2,2,0,151,1
rep1_FOV1_5,1,1,1200,0.1,5,1050,3,8,16,184,1
rep1_FOV1_5,1,1,1200,0.1,5,1100,7,6,9,315,1
rep1_FOV1_5,1,1,1200,0.1,5,1150,9,5,2,503,1
rep1_FOV1_5,1,1,1200,0.1,5,1200,8,0,1,664,1
rep1_FOV1_5,1,1,1200,0.1,5,1250,4,0,1,584,1
rep1_FOV1_5,1,1,1200,0.1,5,1300,2,18,22,495,1
rep1_FOV1_5,1,1,1200,0.1,5,1350,13,15,6,686,1
rep1_FOV1_5,1,1,1200,0.1,5,1400,16,3,3,1111,1
rep1_FOV1_5,1,1,1200,0.1,5,1450,12,1,4,1130,1
rep1_FOV1_5,1,1,1200,0.1,5,1500,10,0,2,1118,1
rep1_FOV1_5,1,1,1200,0.1,5,1550,7,1,0,973,1
rep1_FOV1_5,1,1,1200,0.1,5,1600,5,0,0,859,1
rep1_FOV1_5,1,1,1200,0.1,5,1650,2,0,2,633,1
rep1_FOV1_5,1,1,1200,0.1,5,1700,0,0,1,430,1
rep1_FOV1_5,1,1,1200,0.1,5,1750,0,0,0,263,1
rep1_FOV1_5,1,1,1200,0.1,5,1800,0,2,2,177,1
rep1_FOV1_5,1,1,1200,0.1,5,1850,2,10,31,135,1
