Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,0.1,1,1000,10,13,21,1074,1
rep1_FOV1_1,1,1,1200,0.1,1,1050,10,16,4,1147,1
rep1_FOV1_1,1,1,1200,0.1,1,1100,9,5,2,1031,1
rep1_FOV1_1,1,1,1200,0.1,1,1150,7,4,1,938,1
rep1_FOV1_1,1,1,1200,0.1,1,1200,6,3,0,860,1
rep1_FOV1_1,1,1,1200,0.1,1,1250,2,0,0,701,1
rep1_FOV1_1,1,1,1200,0.1,1,1300,1,0,0,439,1
rep1_FOV1_1,1,1,1200,0.1,1,1350,2,1,4,290,1
rep1_FOV1_1,1,1,1200,0.1,1,1400,1,1,3,241,1
rep1_FOV1_1,1,1,1200,0.1,1,1450,3,1,1,196,1
rep1_FOV1_1,1,1,1200,0.1,1,1500,4,4,10,251,1
rep1_FOV1_1,1,1,1200,0.1,1,1550,4,6,3,311,1
rep1_FOV1_1,1,1,1200,0.1,1,1600,6,7,7,383,1
rep1_FOV1_1,1,1,1200,0.1,1,1650,9,4,3,502,1
rep1_FOV1_1,1,1,1200,0.1,1,1700,5,4,4,620,1
rep1_FOV1_1,1,1,1200,0.1,1,1750,4,2,2,538,1
rep1_FOV1_1,1,1,1200,0.1,1,1800,6,1,0,566,1
rep1_FOV1_1,1,1,1200,0.1,1,1850,3,3,9,522,1
rep1_FOV1_1,1,1,1200,0.1,1,1900,6,4,3,484,1
rep1_FOV1_1,1,1,1200,0.1,1,1950,7,3,0,533,1
rep1_FOV1_1,1,1,1200,0.1,1,2000,7,1,0,605,1
rep1_FOV1_2,1,1,1200,0.1,2,1000,2,3,0,267,1
rep1_FOV1_2,1,1,1200,0.1,2,1050,1,0,0,216,1
rep1_FOV1_2,1,1,1200,0.1,2,1100,1,0,0,179,1
rep1_FOV1_2,1,1,1200,0.1,2,1150,1,0,0,152,1
rep1_FOV1_2,1,1,1200,0.1,2,1200,1,0,0,130,1
rep1_FOV1_2,1,1,1200,0.1,2,1250,1,0,0,129,1
rep1_FOV1_2,1,1,1200,0.1,2,1300,1,0,0,131,1
rep1_FOV1_2,1,1,1200,0.1,2,1350,1,1,5,130,1
