Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,1,1,1000,13,7,6,1244,1
rep1_FOV1_1,1,1,1200,1,1,1050,10,7,2,1165,1
rep1_FOV1_1,1,1,1200,1,1,1100,10,2,1,1223,1
rep1_FOV1_1,1,1,1200,1,1,1150,6,0,1,1062,1
rep1_FOV1_1,1,1,1200,1,1,1200,3,0,0,814,1
rep1_FOV1_1,1,1,1200,1,1,1250,4,6,8,69,1
rep1_FOV1_1,1,1,1200,1,1,1300,4,6,11,46,1
rep1_FOV1_1,1,1,1200,1,1,1350,5,6,6,79,1
rep1_FOV1_1,1,1,1200,1,1,1400,6,3,0,75,1
rep1_FOV1_1,1,1,1200,1,1,1450,2,1,0,35,1
rep1_FOV1_1,1,1,1200,1,1,1500,2,3,5,13,1
rep1_FOV1_1,1,1,1200,1,1,1550,3,2,0,40,1
rep1_FOV1_1,1,1,1200,1,1,1600,3,0,0,53,1
rep1_FOV1_1,1,1,1200,1,1,1650,2,0,0,45,1
rep1_FOV1_1,1,1,1200,1,1,1700,2,0,0,28,1
rep1_FOV1_1,1,1,1200,1,1,1750,1,0,2,13,1
rep1_FOV1_1,1,1,1200,1,1,1800,6,6,19,55,1
rep1_FOV1_1,1,1,1200,1,1,1850,12,7,4,147,1
rep1_FOV1_1,1,1,1200,1,1,1900,10,14,16,180,1
rep1_FOV1_1,1,1,1200,1,1,1950,20,11,19,242,1
rep1_FOV1_1,1,1,1200,1,1,2000,21,18,37,291,1
rep1_FOV1_2,1,1,1200,1,2,1000,14,4,11,1090,1
rep1_FOV1_2,1,1,1200,1,2,1050,14,12,5,1209,1
rep1_FOV1_2,1,1,1200,1,2,1100,13,4,2,1269,1
rep1_FOV1_2,1,1,1200,1,2,1150,11,5,18,1267,1
rep1_FOV1_2,1,1,1200,1,2,1200,12,12,14,1209,1
rep1_FOV1_2,1,1,1200,1,2,1250,10,8,7,176,1
rep1_FOV1_2,1,1,1200,1,2,1300,11,6,3,164,1
rep1_FOV1_2,1,1,1200,1,2,1350,9,5,1,126,1
rep1_FOV1_2,1,1,1200,1,2,1400,8,3,17,130,1
rep1_FOV1_2,1,1,1200,1,2,1450,9,0,10,125,1
rep1_FOV1_2,1,1,1200,1,2,1500,4,2,5,62,1
rep1_FOV1_2,1,1,1200,1,2,1550,9,6,4,91,1
rep1_FOV1_2,1,1,1200,1,2,1600,7,8,5,145,1
rep1_FOV1_2,1,1,1200,1,2,1650,8,5,1,116,1
