Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,0.3,1,1000,9,1,7,842,1
rep1_FOV1_1,1,1,1200,0.3,1,1050,10,7,28,937,1
rep1_FOV1_1,1,1,1200,0.3,1,1100,13,10,9,1042,1
rep1_FOV1_1,1,1,1200,0.3,1,1150,10,4,4,1122,1
rep1_FOV1_1,1,1,1200,0.3,1,1200,7,6,4,970,1
rep1_FOV1_1,1,1,1200,0.3,1,1250,6,1,1,898,1
rep1_FOV1_1,1,1,1200,0.3,1,1300,5,1,1,759,1
rep1_FOV1_1,1,1,1200,0.3,1,1350,6,5,14,708,1
rep1_FOV1_1,1,1,1200,0.3,1,1400,6,4,5,704,1
rep1_FOV1_1,1,1,1200,0.3,1,1450,12,10,32,738,1
rep1_FOV1_1,1,1,1200,0.3,1,1500,17,12,13,1121,1
rep1_FOV1_1,1,1,1200,0.3,1,1550,18,8,3,1417,1
rep1_FOV1_1,1,1,1200,0.3,1,1600,14,0,3,1559,1
rep1_FOV1_1,1,1,1200,0.3,1,1650,10,1,0,1433,1
rep1_FOV1_1,1,1,1200,0.3,1,1700,6,1,0,1088,1
rep1_FOV1_1,1,1,1200,0.3,1,1750,3,0,0,876,1
rep1_FOV1_1,1,1,1200,0.3,1,1800,1,0,0,626,1
rep1_FOV1_1,1,1,1200,0.3,1,1850,0,0,0,389,1
rep1_FOV1_1,1,1,1200,0.3,1,1900,0,0,0,251,1
rep1_FOV1_1,1,1,1200,0.3,1,1950,0,0,0,152,1
rep1_FOV1_1,1,1,1200,0.3,1,2000,0,0,0,98,1
rep1_FOV1_2,1,1,1200,0.3,2,1000,3,0,0,313,1
rep1_FOV1_2,1,1,1200,0.3,2,1050,2,0,0,305,1
rep1_FOV1_2,1,1,1200,0.3,2,1100,0,0,0,206,1
rep1_FOV1_2,1,1,1200,0.3,2,1150,0,0,0,117,1
rep1_FOV1_2,1,1,1200,0.3,2,1200,2,2,4,88,1
rep1_FOV1_2,1,1,1200,0.3,2,1250,4,2,2,204,1
rep1_FOV1_2,1,1,1200,0.3,2,1300,2,0,2,272,1
rep1_FOV1_2,1,1,1200,0.3,2,1350,3,0,1,262,1
