Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,0.3,1,1000,3,10,11,235,1
rep1_FOV1_1,1,1,1200,0.3,1,1050,3,16,16,270,1
rep1_FOV1_1,1,1,1200,0.3,1,1100,13,22,35,491,1
rep1_FOV1_1,1,1,1200,0.3,1,1150,26,15,18,1152,1
rep1_FOV1_1,1,1,1200,0.3,1,1200,22,10,6,1759,1
rep1_FOV1_1,1,1,1200,0.3,1,1250,17,5,2,1794,1
rep1_FOV1_1,1,1,1200,0.3,1,1300,12,3,1,1635,1
rep1_FOV1_1,1,1,1200,0.3,1,1350,9,0,0,1415,1
rep1_FOV1_1,1,1,1200,0.3,1,1400,6,0,0,1168,1
rep1_FOV1_1,1,1,1200,0.3,1,1450,4,0,0,875,1
rep1_FOV1_1,1,1,1200,0.3,1,1500,4,4,9,699,1
rep1_FOV1_1,1,1,1200,0.3,1,1550,4,5,4,579,1
rep1_FOV1_1,1,1,1200,0.3,1,1600,4,3,0,507,1
rep1_FOV1_1,1,1,1200,0.3,1,1650,1,0,0,392,1
rep1_FOV1_1,1,1,1200,0.3,1,1700,1,0,0,255,1
rep1_FOV1_1,1,1,1200,0.3,1,1750,0,0,0,164,1
rep1_FOV1_1,1,1,1200,0.3,1,1800,0,0,0,90,1
rep1_FOV1_1,1,1,1200,0.3,1,1850,0,0,0,53,1
rep1_FOV1_1,1,1,1200,0.3,1,1900,0,1,2,32,1
rep1_FOV1_1,1,1,1200,0.3,1,1950,1,6,22,37,1
rep1_FOV1_1,1,1,1200,0.3,1,2000,5,10,5,169,1
rep1_FOV1_2,1,1,1200,0.3,2,1000,2,1,8,217,1
rep1_FOV1_2,1,1,1200,0.3,2,1050,4,1,3,244,1
rep1_FOV1_2,1,1,1200,0.3,2,1100,6,1,0,317,1
rep1_FOV1_2,1,1,1200,0.3,2,1150,5,0,0,427,1
rep1_FOV1_2,1,1,1200,0.3,2,1200,4,0,9,432,1
rep1_FOV1_2,1,1,1200,0.3,2,1250,4,2,4,388,1
rep1_FOV1_2,1,1,1200,0.3,2,1300,2,1,6,328,1
rep1_FOV1_2,1,1,1200,0.3,2,1350,2,2,4,270,1
rep1_FOV1_2,1,1,1200,0.3,2,1400,3,7,11,261,1
rep1_FOV1_2,1,1,1200,0.3,2,1450,8,7,5,344,1
rep1_FOV1_2,1,1,1200,0.3,2,1500,5,4,3,407,1
rep1_FOV1_2,1,1,1200,0.3,2,1550,4,9,12,474,1
rep1_FOV1_2,1,1,1200,0.3,2,1600,10,6,3,623,1
rep1_FOV1_2,1,1,1200,0.3,2,1650,12,2,1,776,1
rep1_FOV1_2,1,1,1200,0.3,2,1700,10,0,0,842,1
